Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
40611598,10/21/18 0:00,10/21/18 0:59,NYPD,New York City Police Department,Derelict Vehicle,With License Plate,Street/Sidewalk,11379,73-42 68 AVENUE,68 AVENUE,73 PLACE,75 STREET,,,ADDRESS,MIDDLE VILLAGE,,Precinct,Closed,10/21/18 8:00,The Police Department responded to the complaint and took action to fix the condition.,10/21/18 0:59,05 QUEENS,4037840026,QUEENS,"1,017,901","198,161",PHONE,Unspecified,QUEENS,,,,,,,,40.71051893,-73.87862009,"(40.71051892839852, -73.87862009301725)"
40605866,10/21/18 0:00,10/21/18 2:08,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,10468,2760 JEROME AVENUE,JEROME AVENUE,EAST 196 STREET,PARKVIEW TERRACE,,,ADDRESS,BRONX,,Precinct,Closed,10/21/18 8:00,The Police Department responded and upon arrival those responsible for the condition were gone.,10/21/18 2:08,07 BRONX,2033180011,BRONX,"1,013,142","256,062",PHONE,Unspecified,BRONX,,,,,,,,40.86945827,-73.89553683,"(40.86945826959557, -73.89553683249115)"
40605566,10/21/18 0:00,10/21/18 7:12,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10009,465 EAST 10 STREET,EAST 10 STREET,BEND,FDR DRIVE,,,ADDRESS,NEW YORK,,Precinct,Closed,10/21/18 8:00,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10/21/18 7:12,03 MANHATTAN,1003670001,MANHATTAN,"991,417","203,258",PHONE,Unspecified,MANHATTAN,,,,,,,,40.72457006,-73.97414303,"(40.724570059316044, -73.97414302858385)"
40605234,10/21/18 0:00,,DOHMH,Department of Health and Mental Hygiene,Rodent,Mouse Sighting,3+ Family Apt. Building,11237,255 WILSON AVENUE,WILSON AVENUE,,,,,LATLONG,BROOKLYN,,N/A,Pending,11/20/18 0:00,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,10/21/18 0:03,04 BROOKLYN,,BROOKLYN,"1,006,216","193,640",MOBILE,Unspecified,BROOKLYN,,,,,,,,40.69814658,-73.92078287,"(40.69814657753969, -73.92078286662591)"
40607563,10/21/18 0:00,10/21/18 23:01,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11377,37-33 62 STREET,62 STREET,37 AVENUE,39 AVENUE,,,ADDRESS,WOODSIDE,,Precinct,Closed,10/21/18 8:00,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10/21/18 23:01,02 QUEENS,4012170029,QUEENS,"1,011,751","212,099",MOBILE,Unspecified,QUEENS,,,,,,,,40.74879656,-73.90074629,"(40.74879655844337, -73.90074629433245)"
40610066,10/21/18 0:00,10/21/18 3:09,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11217,572 WARREN STREET,WARREN STREET,3 AVENUE,4 AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,10/21/18 8:00,The Police Department responded to the complaint and took action to fix the condition.,10/21/18 3:09,06 BROOKLYN,3004010001,BROOKLYN,"989,089","187,756",PHONE,Unspecified,BROOKLYN,,,,,,,,40.68202229,-73.98255308,"(40.682022291389764, -73.98255308335538)"
40610557,10/21/18 0:01,10/21/18 3:21,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10470,4515 RICHARDSON AVENUE,RICHARDSON AVENUE,EAST 239 STREET,EAST 240 STREET,,,ADDRESS,BRONX,,Precinct,Closed,10/21/18 8:01,Your request can not be processed at this time because of insufficient contact information. Please create a new Service Request on NYC.gov and provide more detailed contact information.,10/21/18 3:21,12 BRONX,2050800001,BRONX,"1,024,690","267,568",ONLINE,Unspecified,BRONX,,,,,,,,40.90099324,-73.85371398,"(40.900993239244094, -73.85371397570948)"
40612077,10/21/18 0:01,10/21/18 5:35,NYPD,New York City Police Department,Noise - Vehicle,Engine Idling,Street/Sidewalk,10027,100 WEST 126 STREET,WEST 126 STREET,LENOX AVENUE,7 AVENUE,,,ADDRESS,NEW YORK,,Precinct,Closed,10/21/18 8:01,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10/21/18 5:35,10 MANHATTAN,1019107501,MANHATTAN,"999,346","233,890",MOBILE,Unspecified,MANHATTAN,,,,,,,,40.80863697,-73.94546814,"(40.808636965091374, -73.94546813500382)"
40607318,10/21/18 0:02,,DSNY,Department of Sanitation,Request Large Bulky Item Collection,Request Large Bulky Item Collection,Sidewalk,11234,1947 RYDER STREET,RYDER STREET,FILLMORE AVENUE,AVENUE S,,,ADDRESS,BROOKLYN,,N/A,Assigned,,The Department of Sanitation has sent this complaint to the appropriate district garage or bureau for further action.,10/22/18 0:00,18 BROOKLYN,3085060021,BROOKLYN,"1,003,653","162,255",PHONE,Unspecified,BROOKLYN,,,,,,,,40.61200764,-73.93011624,"(40.612007642493005, -73.93011624081)"
40605579,10/21/18 0:02,10/21/18 5:25,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11414,164-49 CROSS BAY BOULEVARD,CROSS BAY BOULEVARD,164 AVENUE,165 AVENUE,,,ADDRESS,HOWARD BEACH,,Precinct,Closed,10/21/18 8:02,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10/21/18 5:25,10 QUEENS,4142070105,QUEENS,"1,029,318","176,124",PHONE,Unspecified,QUEENS,,,,,,,,40.64998168,-73.83758618,"(40.64998168141934, -73.83758618031825)"
40611584,10/21/18 0:02,10/21/18 2:44,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11206,59 BOGART STREET,BOGART STREET,SEIGEL STREET,HARRISON PLACE,,,ADDRESS,BROOKLYN,,Precinct,Closed,10/21/18 8:02,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,10/21/18 2:44,01 BROOKLYN,3030920027,BROOKLYN,"1,002,707","196,400",MOBILE,Unspecified,BROOKLYN,,,,,,,,40.70573014,-73.93342999,"(40.705730142812826, -73.93342998707053)"
40611108,10/21/18 0:02,10/21/18 3:03,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10032,560 WEST 170 STREET,WEST 170 STREET,AUDUBON AVENUE,ST NICHOLAS AVENUE,,,ADDRESS,NEW YORK,,Precinct,Closed,10/21/18 8:02,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10/21/18 3:03,12 MANHATTAN,1021260010,MANHATTAN,"1,001,384","246,016",MOBILE,Unspecified,MANHATTAN,,,,,,,,40.84191566,-73.93807523,"(40.84191566121065, -73.9380752254047)"
40611949,10/21/18 0:02,10/21/18 6:31,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,10460,1560 BOSTON ROAD,BOSTON ROAD,EAST 172 STREET,SUBURBAN PLACE,,,ADDRESS,BRONX,,Precinct,Closed,10/21/18 8:02,The Police Department responded and upon arrival those responsible for the condition were gone.,10/21/18 6:31,03 BRONX,2029670002,BRONX,"1,014,197","243,773",PHONE,Unspecified,BRONX,,,,,,,,40.83572513,-73.89177723,"(40.83572512584115, -73.89177722724922)"
