Object Number,Is Highlight,Is Public Domain,Object ID,Department,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights and Reproduction,Link Resource,Metadata Date,Repository
2007.49.486,False,False,376082,Drawings and Prints,Print,Two Women,,,,,,Artist,,Claudio Bravo,"Chilean, Valparaíso 1936–2011 Taroudant, Morocco",,"Bravo, Claudio",Chilean,1936      ,2011      ,1975–78,1975,1978,Lithograph,"image: 20 x 27 1/4 in. (50.8 x 69.2 cm)
sheet: 24 3/4 x 31 1/4 in. (62.9 x 79.4 cm)","Bequest of William S. Lieberman, 2005",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/376082,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
C.I.51.39.20,False,False,105148,Costume Institute,Brooch,Brooch,American,,,,,,,,,,,,,,19th century,1800,1899,steel,,"Gift of Dr. Walter L. Hildburgh, 1951",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/105148,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
49.95.870(1),False,True,659729,Drawings and Prints,Print,"New Inventions of Modern Times [Nova Reperta], The Invention of the Watermill, plate 10",,,,,,Artist|Artist|Publisher,After,"Jan van der Straet, called Stradanus|Jan Collaert I|Philips Galle","Netherlandish, Bruges 1523–1605 Florence|Netherlandish, Antwerp ca. 1530–1581 Antwerp|Netherlandish, Haarlem 1537–1612 Antwerp",,"Straet, Jan van der, called Stradanus|Collaert, Jan, I|Galle, Philips",Netherlandish|Netherlandish|Netherlandish,1523      |1530      |1537      ,1605      |1581      |1612      ,ca. 1600,1595,1605,Engraving,sheet: 10 5/8 x 7 7/8 in. (27 x 20 cm),"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1949",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/659729,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
34.141.1,False,True,62944,Asian Art,Figure,,China,Northern Wei dynasty (386–534),,,,,,,,,,,,,,386,534,Polychromed reddish earthenware,H. 9 in. (22.9 cm),"Gift of Mrs. Edward S. Harkness, 1934",,,,,,,,,,,,Tomb Pottery,,http://www.metmuseum.org/art/collection/search/62944,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
27.170.6,False,True,448050,Islamic Art,Fragment,Fragment,,,,,,,,,,,,,,,10th–11th century,900,1099,Linen and silk,"H. 7 1/2 in. (19.1 cm)
W. 6 1/2 in. (16.5 cm)","Rogers Fund, 1927",Attributed to,Fustat,,,Egypt,,,,,,,Textiles-Woven,,http://www.metmuseum.org/art/collection/search/448050,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
50.60,False,False,550640,Egyptian Art,"Shabti, Seti I",Shabti of Seti I,,"New Kingdom, Ramesside",Dynasty 19–20,reign of Akhenaten,,,,,,,,,,,ca. 1295–1070 B.C.,-1295,-1070,"Wood, black pitch",H. 18 cm (7 1/16 in.),"Gift of Minda Moore, 1950",From,,,,Egypt,,,,,,,,,http://www.metmuseum.org/art/collection/search/550640,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
1986.1236.39,False,False,369981,Drawings and Prints,Print,"Raphael et the Fornarina XX, from Suite 347",,,,,,Artist|Printer|Publisher,Printed by|Published by,Pablo Picasso|Aldo and Piero Crommelynck|Galerie Louise Leiris,"Spanish, Malaga 1881–1973 Mougins, France|Paris",,"Picasso, Pablo|Crommelynck, Aldo and Piero|Leiris, Galerie Louise ",Spanish|French,1881      ,1973      ,1968,1968,1968,Etching,"plate: 5 13/16 x 8 3/16 in. (14.8 x 20.8 cm)
sheet: 11 3/16 x 13 5/8 in. (28.4 x 34.6 cm)","Gift of Reiss-Cohen Inc., 1986",,,,,,,,,,,,Prints,"© 2018 Estate of Pablo Picasso / Artists Rights Society (ARS), New York",http://www.metmuseum.org/art/collection/search/369981,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
D.1994.262.232,False,False,280792,Photographs,Polaroid,"[Penelope Post, New Haven, Connecticut]",,,,,,Artist,,Walker Evans,"American, St. Louis, Missouri 1903–1975 New Haven, Connecticut",,"Evans, Walker",American,1903      ,1975      ,"December 28, 1973",1973,1973,Instant color print,7.9 x 7.9 cm (3 1/8 x 3 1/8 in.),"Walker Evans Archive, 1994",,,,,,,,,,,,Photographs,"© Walker Evans Archive, The Metropolitan Museum of Art",http://www.metmuseum.org/art/collection/search/280792,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
"Burdick 230, N668.114",False,True,708917,Drawings and Prints,Photograph,"Annie Sutherland, from the Actresses series (N668)",,,,,,,,,,,,,,,ca. 1888,1883,1892,Albumen photograph,Sheet: 3 3/4 × 2 1/16 in. (9.5 × 5.2 cm),"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",,,,,,,,,,,,Photographs|Ephemera,,http://www.metmuseum.org/art/collection/search/708917,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
51.171.88,False,True,6065,American Decorative Arts,Plate,Plate,American,,,,,,,,,,,,,,1830–45,1830,1845,Lacy pressed glass,Diam. 6 1/16 in. (15.4 cm),"Gift of Mrs. Charles W. Green, in memory of Dr. Charles W. Green, 1951",Made in,,,,United States,New England ,,,,,,Glass,,http://www.metmuseum.org/art/collection/search/6065,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
1979.563.1,False,False,335579,Drawings and Prints,Book,Scènes de la Vie Bohème,,,,,,Author|Illustrator|Publisher|Printer,Written by|Published by|Printed by,Henri Murger|Jean Dratz|Éditions Nilsson|Ramlot et Compagnie,"French, 1822–1861|French|French",,"Murger, Henri|Dratz, Jean|Nilsson|Ramlot et Compagnie",French|French|French,1822      ,1861      ,1913,1913,1913,Hand-colored wood engraving,,"Gift of A. Hyatt Mayor, 1979",,,,,,,,,,,,Books,,http://www.metmuseum.org/art/collection/search/335579,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
1971.513.42,False,True,362240,Drawings and Prints,Drawing ; Ornament and architecture,Design for ceiling decoration,,,,,,Artist,,Joseph Bonomi,"Italian, Rome 1739–1808 London (active England)",,"Bonomi, Joseph",Italian,1739      ,1808      ,mid-18th–early 19th century,1759,1808,Watercolor over graphite,sheet: 9 5/8 x 7 3/4 in. (24.4 x 19.7 cm),"Harris Brisbane Dick Fund and  Joseph Pulitzer Bequest, 1971",,,,,,,,,,,,Drawings|Ornament & Architecture,,http://www.metmuseum.org/art/collection/search/362240,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
21.74.30,False,False,685043,Drawings and Prints,Print,"The Poe's Cottage, Fordham",,,,,,Publisher|Artist,,The Society of Iconophiles|Charles Frederick Mielatz,"New York, 1894–1936|American (born Germany), Breddin 1864–1919 New York",,"Society of Iconophiles|Mielatz, Charles Frederick","American|American, born Germany",1894      |1864      ,1936      |1919      ,1898,1898,1898,Lithograph on green paper,Sheet: 10 13/16 × 7 1/2 in. (27.4 × 19 cm),"Gift of Mrs. William Loring Andrews, 1921",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/685043,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
96.14.1597,False,True,67310,Asian Art,Piece,,Japan,,,,,,,,,,,,,,18th–19th century,1700,1899,Silk,4 3/4 x 6 1/2 in. (12.07 x 16.51 cm),"Gift of Mr. and Mrs. H. O. Havemeyer, 1896",,,,,,,,,,,,Textiles-Woven,,http://www.metmuseum.org/art/collection/search/67310,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
14.1.32,False,True,474735,Medieval Art,Ostrakon,Ostrakon,Coptic,,,,,,,,,,,,,,600,600,600,Limestone with ink inscription,8 1/2 x 5 7/8 in. (21.6 x 15 cm),"Rogers Fund, 1914",Made in,Thebes,,,Byzantine Egypt,,,,,,,Ceramics,,http://www.metmuseum.org/art/collection/search/474735,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
2001.276,False,False,284677,Photographs,Photograph,Upper Glacier at Grindelwald: Source of the Lutschine,,,,,,Artist,,Adolphe Braun,"French, Besançon 1811–1877 Dornach",,"Braun, Adolphe",French,1811      ,1877      ,1866,1866,1866,Albumen silver print from glass negative,10.2 x 17.7 cm (4 x 6 15/16 in.),"Purchase, The Horace W. Goldsmith Foundation Gift, through Joyce and Robert Menschel, 2001",,,,,,,,,,,,Photographs,,http://www.metmuseum.org/art/collection/search/284677,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
18.145.45,False,True,250706,Greek and Roman Art,"Portrait head of a woman, Livia ?",Marble portrait of Livia,Roman,"Early Imperial, Tiberian",,,,,,,,,,,,,ca. A.D. 14–37,14,37,Marble,Other: 9 7/8 x 7 1/4 x 6 3/8 in. (25.1 x 18.4 x 16.2 cm),"Rogers Fund, 1918",,,,,,,,,,,,Stone Sculpture,,http://www.metmuseum.org/art/collection/search/250706,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
"C.I.40.152.3a, b",False,False,86128,Islamic Art,Ensemble,Ensemble,,,,,,,,,,,,,,,1800–1940,1800,1940,Cotton; embroidered,[no dimensions available],"Gift of Mrs. G. R. Thomas, 1940",Made in,,,,India,,,,,,,Main dress,,http://www.metmuseum.org/art/collection/search/86128,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
24.93.3,False,False,221521,European Sculpture and Decorative Arts,Bertha,Bertha,possibly French,,,,,,,,,,,,,,18th–19th century,1700,1899,"Linen, drawnwork","L. 59 x W. 9 1/4 inches
149.9 x 23.5 cm","Gift of Mrs. H. McKnight Moore in memory of her mother, Mrs. James Snydam, 1924",,,,,,,,,,,,Textiles-Laces,,http://www.metmuseum.org/art/collection/search/221521,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
13.225.19,False,True,248769,Greek and Roman Art,Statuette of an actor,Terracotta statuette of an actor,"Greek, Attic",Late Classical,,,,,,,,,,,,,late 5th–early 4th century B.C.,-425,-375,Terracotta,H. 3 1/2 in. (8.9 cm),"Rogers Fund, 1913",,,,,,,,,,,,Terracottas,,http://www.metmuseum.org/art/collection/search/248769,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
SL.6.2017.32.7,False,False,665410,Drawings and Prints,Drawing,Study of torso of Dusk in Medici Chapel,,,,,,Artist,,Michelangelo Buonarroti,"Italian, Caprese 1475–1564 Rome",,Michelangelo Buonarroti,,1475      ,1564      ,1520-30,1520,1530,"Black chalk, annotated at left in pen and brown ink","Sheet: 6 15/16 × 10 5/8 in. (17.6 × 27 cm)
Framed: 17 11/16 × 23 3/4 × 15/16 in. (45 × 60.4 × 2.4 cm)","The Ashmolean Museum, Oxford inv. WA1846.56 (KP II 310)",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/665410,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
44.91.783(31),False,False,746214,Drawings and Prints,Book Print Ornament & Architecture,Textile pattern with striped designs,,,,,,Designer|Lithographer|Publisher,Designed by|Lithographed by|Published by,Séraphin|Georges Schlatter|Fleury Chavant,"French (?), 19th Century|French|French, 19th century",,"Séraphin|Schlatter, Georges|Chavant, Fleury",,1800      |0019      ,1900      |0019      ,[after 1844],1844,1900,Lithography,"Sheet: 12 3/16 × 9 7/16 in. (31 × 24 cm)
Book: 12 3/8 in. × 10 in. × 1 5/16 in. (31.5 × 25.4 × 3.3 cm)","Gift of Edith P. Blase, 1944",,Paris,,,,,,,,,,Books|Prints|Ornament & Architecture,,http://www.metmuseum.org/art/collection/search/746214,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
1983.1121.3,False,False,263621,Photographs,Photograph,Sleeping Beauty,,,,,,Artist,,Elliot McDowell,"American, born 1949",,"McDowell, Elliott",American,1949      ,,1982,1982,1982,Gelatin silver print,,"Gift of Mr. and Mrs. Allen Schreiber, 1983",,,,,,,,,,,,Photographs,,http://www.metmuseum.org/art/collection/search/263621,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
59.41.87,False,True,324916,Ancient Near Eastern Art,Brick,Inscribed brick,Neo-Sumerian,Ur III,,,,,,,,,,,,,ca. 2094–2047 B.C.,-2094,-2047,"Ceramic, glaze","Brick: 31.5 x 31.2 x 5.5 cm (12 3/8 x 12 1/4 x 2 1/8 in.)
Inscription: 17 x 10.2 cm (6 3/4 x 4 in.)","Rogers Fund, 1959",,,,,,Mesopotamia,Nippur,,,,,Ceramics-Architectural-Inscribed,,http://www.metmuseum.org/art/collection/search/324916,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
2003.318,False,True,359620,Drawings and Prints,Drawing,A Panoramic Landscape with a Herdsman and His Flock,,,,,,Artist,,Jan Ruischer,"Dutch, born Franeker, ca. 1625–after 1675",,"Ruischer, Jan",Dutch,,,17th century,1620,1685,"Pen and brown ink, brush and brown wash, over black chalk",sheet: 6 7/16 x 12 1/4 in. (16.4 x 31.1 cm),"Frits and Rita Markus Fund, 2003",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/359620,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
"C.I.52.35.3a, b",False,False,120047,Costume Institute,Undersleeves,Undersleeves,French,,,,,,,,,,,,,,19th century,1800,1899,linen,,"Gift of Miss Mary Lee, 1952",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/120047,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
1994.254.979,False,False,274390,Photographs,Negative,"[Residence of Suzette Morton Hamill, Lake Forest, Illinois?]",,,,,,Artist,,Walker Evans,"American, St. Louis, Missouri 1903–1975 New Haven, Connecticut",,"Evans, Walker",American,1903      ,1975      ,August 1946 (?),1946,1946,Film negative,4 x 5 in.,"Walker Evans Archive, 1994",,,,,,,,,,,,Negatives,"© Walker Evans Archive, The Metropolitan Museum of Art",http://www.metmuseum.org/art/collection/search/274390,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
2005.100.588.2.13,False,False,706107,Photographs,Photograph,Julia Barucci,,,,,,Artist,,André-Adolphe-Eugène Disdéri,"French, Paris 1819–1889 Paris",,"Disdéri, André-Adolphe-Eugène",,1819      ,1889      ,1858,1858,1858,Albumen silver print from glass negative,"Image: 18.4 × 24.8 cm (7 1/4 × 9 3/4 in.)
Album page: 26.2 × 34.8 cm (10 5/16 × 13 11/16 in.)","Gilman Collection, Gift of The Howard Gilman Foundation, 2005",,,,,,,,,,,,Photographs,,http://www.metmuseum.org/art/collection/search/706107,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
